time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-07-27T02:47:35.462Z,-33.3514,-68.9252,2.448,3,ml,19,213,1.012,1.02,us,usd0011its,2024-07-27T03:02:49.040Z,"51 km S of Mendoza, Argentina",earthquake,2.22,7.055,0.058,39,reviewed,us,us
2024-07-27T02:10:07.080Z,17.9155,-66.8553333333333,12.06,2.74,md,21,192,0.07587,0.19,pr,pr71456313,2024-07-27T02:28:01.170Z,"7 km SSE of Maria Antonia, Puerto Rico",earthquake,0.4,0.41,0.0816752056695997,5,reviewed,pr,pr
2024-07-27T00:47:27.470Z,18.9321,39.2905,10,4.2,mb,26,176,8.118,0.95,us,us6000ng9y,2024-07-27T01:06:38.040Z,"174 km ENE of Tokār, Sudan",earthquake,15.16,1.981,0.128,17,reviewed,us,us
2024-07-26T23:19:56.974Z,31.622,-103.973,6.3947,2.9,ml,31,51,0,0.1,tx,tx2024opzi,2024-07-27T00:40:23.911Z,"36 km WSW of Mentone, Texas",earthquake,0.3958391432723254,0.4305102446457337,0.2,24,reviewed,tx,tx
2024-07-26T23:15:30.666Z,13.5155,-88.4498,173.959,4.5,mb,128,143,0.131,0.75,us,us6000ng9n,2024-07-26T23:43:58.040Z,"4 km NNE of Santiago de María, El Salvador",earthquake,9.68,4.476,0.052,109,reviewed,us,us
2024-07-26T21:09:58.448Z,19.2599,39.3886,10,4.7,mb,71,141,8.376,1.06,us,us6000ng91,2024-07-26T21:26:04.040Z,"197 km ENE of Tokār, Sudan",earthquake,10.85,1.935,0.068,66,reviewed,us,us
2024-07-26T20:49:16.027Z,64.4502,-149.4116,16.7,2.5,ml,,,,0.37,ak,ak0249kbze4y,2024-07-27T14:57:05.040Z,"16 km NW of Anderson, Alaska",earthquake,,0.2,,,automatic,ak,ak
2024-07-26T20:48:05.354Z,53.3453,160.2027,52.47,4.3,mb,39,167,0.989,0.7,us,us6000ng8w,2024-07-26T22:19:31.040Z,"109 km ENE of Petropavlovsk-Kamchatsky, Russia",earthquake,13.05,11.375,0.099,29,reviewed,us,us
2024-07-26T19:40:36.437Z,32.768,-100.696,4.4678,2.9,ml,20,50,0.1,0.3,tx,tx2024opsc,2024-07-28T15:24:56.307Z,"15 km NNE of Hermleigh, Texas",earthquake,1.042884187939325,1.5856203830879614,0.1,18,reviewed,tx,tx
2024-07-26T19:16:14.116Z,79.7537,18.7985,10.001,4.1,mb,14,170,1.53,0.64,us,us6000ng89,2024-07-27T00:23:37.040Z,"183 km NNE of Longyearbyen, Svalbard and Jan Mayen",earthquake,11.66,6.712,0.165,10,reviewed,us,us
